TimeStamp, HR , SC 
 22-13-23,0
22-13-24,=============================
22-13-24,PRbpm : 72    %SPo2 : 97
22-13-24,=============================
22-13-24,PRbpm : 0    %SPo2 : 0
22-13-25,=============================
22-13-25,PRbpm : 0    %SPo2 : 0
22-13-25,=============================
22-13-25,PRbpm : 72    %SPo2 : 97
22-13-26,=============================
22-13-26,PRbpm : 72    %SPo2 : 97
22-13-26,=============================
22-13-26,PRbpm : 72    %SPo2 : 97
22-13-26,=============================
22-13-27,PRbpm : 72    %SPo2 : 97
22-13-27,=============================
22-13-27,PRbpm : 72    %SPo2 : 97
22-13-27,=============================
22-13-28,PRbpm : 72    %SPo2 : 97
22-13-28,=============================
22-13-28,PRbpm : 72    %SPo2 : 97
22-13-28,=============================
22-13-29,PRbpm : 72    %SPo2 : 97
22-13-29,=============================
22-13-29,PRbpm : 72    %SPo2 : 97
22-13-30,=============================
22-13-30,PRbpm : 72    %SPo2 : 97
22-13-30,=============================
22-13-30,PRbpm : 71    %SPo2 : 96
22-13-30,=============================
22-13-31,PRbpm : 71    %SPo2 : 96
22-13-31,=============================
22-13-31,PRbpm : 71    %SPo2 : 96
22-13-31,=============================
22-13-32,PRbpm : 76    %SPo2 : 96
22-13-32,=============================
22-13-32,PRbpm : 82    %SPo2 : 96
22-13-32,=============================
22-13-33,=============================
22-13-33,PRbpm : 79    %SPo2 : 98
22-13-34,=============================
22-13-34,PRbpm : 76    %SPo2 : 98
22-13-34,=============================
22-13-34,PRbpm : 76    %SPo2 : 98
22-13-34,=============================
22-13-35,PRbpm : 76    %SPo2 : 98
22-13-36,=============================
22-13-36,PRbpm : 76    %SPo2 : 98
22-13-36,=============================
22-13-36,PRbpm : 76    %SPo2 : 98
22-13-37,=============================
22-13-37,PRbpm : 76    %SPo2 : 98
22-13-37,=============================
22-13-37,PRbpm : 76    %SPo2 : 98
22-13-37,=============================
22-13-38,PRbpm : 76    %SPo2 : 98
22-13-38,=============================
22-13-38,PRbpm : 76    %SPo2 : 98
22-13-38,=============================
22-13-39,PRbpm : 76    %SPo2 : 98
22-13-39,=============================
22-13-39,PRbpm : 76    %SPo2 : 98
22-13-39,=============================
22-13-40,PRbpm : 76    %SPo2 : 98
22-13-40,=============================
22-13-40,PRbpm : 77    %SPo2 : 98
22-13-40,=============================
22-13-41,PRbpm : 77    %SPo2 : 98
22-13-41,=============================
22-13-41,PRbpm : 77    %SPo2 : 98
22-13-41,=============================
22-13-42,PRbpm : 77    %SPo2 : 98
22-13-42,=============================
22-13-42,PRbpm : 77    %SPo2 : 98
22-13-42,=============================
22-13-43,PRbpm : 77    %SPo2 : 98
22-13-43,=============================
22-13-43,PRbpm : 77    %SPo2 : 98
22-13-44,PRbpm : 77    %SPo2 : 98
22-13-44,=============================
22-13-44,PRbpm : 77    %SPo2 : 98
22-13-44,=============================
22-13-45,PRbpm : 77    %SPo2 : 98
22-13-45,=============================
22-13-45,PRbpm : 77    %SPo2 : 98
22-13-46,=============================
22-13-46,PRbpm : 77    %SPo2 : 98
22-13-46,=============================
22-13-46,PRbpm : 78    %SPo2 : 98
22-13-47,=============================
22-13-47,PRbpm : 78    %SPo2 : 98
22-13-47,=============================
22-13-47,PRbpm : 78    %SPo2 : 98
22-13-48,=============================
22-13-48,PRbpm : 78    %SPo2 : 98
22-13-48,=============================
22-13-48,PRbpm : 78    %SPo2 : 98
22-13-48,=============================
22-13-49,PRbpm : 78    %SPo2 : 98
22-13-49,=============================
22-13-49,PRbpm : 78    %SPo2 : 98
22-13-49,=============================
22-13-50,PRbpm : 78    %SPo2 : 98
22-13-50,=============================
