TimeStamp, HR , SC 
 15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.34
15-50-18,0,1.44
15-50-18,0,1.24
15-50-18,0,1.44
15-50-18,0,1.24
15-50-18,0,1.34
15-50-18,0,1.24
15-50-18,0,1.34
15-50-18,0,1.24
15-50-18,0,1.34
15-50-18,0,1.24
15-50-18,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.44
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.83
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.44
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.73
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.44
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.44
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,-1.00
15-50-19,0,2.12
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.14
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.63
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,2.02
15-50-19,0,1.24
15-50-19,0,1.44
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.24
15-50-19,0,1.34
15-50-19,0,1.24
15-50-20,0,1.44
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,-1.00
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,-1.00
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.93
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.63
15-50-20,0,1.34
15-50-20,0,1.83
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.24
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-20,0,1.34
15-50-21,0,1.34
15-50-21,0,1.44
15-50-21,0,1.34
15-50-21,0,1.83
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.34
15-50-21,0,1.53
15-50-21,0,1.34
15-50-21,0,1.53
