TimeStamp, HR , SC 
 15-49-31,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.73
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,2.02
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.73
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,2.32
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.24
15-49-33,0,1.73
15-49-33,0,1.53
15-49-33,0,1.63
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.63
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.24
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.93
15-49-33,0,1.53
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.53
15-49-33,0,1.44
15-49-33,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.53
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.34
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.53
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.83
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.63
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.63
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.93
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.24
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.53
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,1.44
15-49-34,0,2.12
15-49-34,0,1.44
15-49-34,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.24
15-49-35,0,1.73
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.34
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,2.02
15-49-35,0,1.44
15-49-35,0,1.83
15-49-35,0,1.44
15-49-35,0,1.34
15-49-35,0,1.44
15-49-35,0,1.34
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.63
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.34
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.24
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.53
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.44
15-49-35,0,1.24
15-49-35,0,1.44
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.83
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.83
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.24
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,2.12
15-49-36,0,1.44
15-49-36,0,1.73
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,2.22
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.24
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.44
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.63
15-49-36,0,1.53
15-49-36,0,1.53
15-49-36,0,1.53
15-49-37,0,1.44
15-49-37,0,1.53
15-49-37,0,1.44
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.24
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.44
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.44
15-49-37,0,1.53
15-49-37,0,1.44
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.44
15-49-37,0,1.63
15-49-37,0,1.53
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.73
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.63
15-49-37,0,1.24
15-49-37,0,2.32
15-49-37,0,1.63
15-49-37,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.53
15-49-38,0,1.63
15-49-38,0,1.24
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.44
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.93
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,2.02
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.24
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,1.44
15-49-38,0,1.63
15-49-38,0,1.53
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-38,0,2.12
15-49-38,0,1.63
15-49-38,0,1.73
15-49-38,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.53
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.83
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.83
15-49-39,0,1.63
15-49-39,0,2.32
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.53
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,2.32
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.24
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.83
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.73
15-49-39,0,1.63
15-49-39,0,1.53
15-49-39,0,1.63
15-49-39,0,1.63
15-49-39,0,1.63
15-49-40,0,1.53
15-49-40,0,1.63
15-49-40,0,1.73
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.44
15-49-40,0,1.63
15-49-40,0,1.44
15-49-40,0,1.63
15-49-40,0,1.44
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.44
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.53
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,2.12
15-49-40,0,1.63
15-49-40,0,2.22
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.24
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.63
15-49-40,0,1.53
15-49-40,0,1.53
15-49-40,0,1.24
15-49-40,0,1.53
15-49-40,0,1.63
