TimeStamp, HR , SC 
 15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.24
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.63
15-51-42,0,1.53
15-51-42,0,1.53
15-51-42,0,1.53
15-51-42,0,1.63
15-51-42,0,1.73
15-51-42,0,1.63
15-51-42,0,1.53
15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.63
15-51-42,0,1.24
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.63
15-51-42,0,1.53
15-51-42,0,1.53
15-51-42,0,1.53
15-51-42,0,1.63
15-51-42,0,1.73
15-51-42,0,1.63
15-51-42,0,1.53
15-51-42,0,1.24
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.34
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.83
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.83
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.93
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.44
15-51-42,0,1.53
15-51-42,0,1.24
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.34
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.44
15-51-42,0,1.83
15-51-42,0,1.44
15-51-42,0,1.44
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.24
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,2.02
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.24
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.83
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.63
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.24
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.44
15-51-43,0,1.44
15-51-43,0,1.34
15-51-43,0,1.73
15-51-43,0,1.34
15-51-43,0,2.02
15-51-43,0,1.44
15-51-43,0,1.93
15-51-43,0,1.44
15-51-43,0,2.12
